Countries and areas,National Point Estimate
Suriname,8.3
Syrian Arab Republic,32.8
Syrian Arab Republic,26.5
Syrian Arab Republic,24.3
Syrian Arab Republic,31.7
Syrian Arab Republic,28.7
Syrian Arab Republic,27.9
Tajikistan,41.5
Tajikistan,42.1
Tajikistan,43.2
Tajikistan,37.1
Tajikistan,42.4
Tajikistan,33.1
Tajikistan,39.3
Tajikistan,28.8
Tajikistan,26.9
Tajikistan,19.6
Tajikistan,17.5
Thailand,25.8
Thailand,21.1
Thailand,18.1
Thailand,15.7
Thailand,16.4
Thailand,10.5
Thailand,13.4
Timor-Leste,55.7
Timor-Leste,54.8
Timor-Leste,57.2
Timor-Leste,57.5
Timor-Leste,51.7
Timor-Leste,53.9
Timor-Leste,46.7
Togo,36.9
Togo,40.2
Togo,28.8
Togo,29.9
Togo,26.9
Togo,27.0
Togo,29.8
Togo,27.0
Togo,26.2
Togo,27.6
Togo,23.8
Tonga,2.2
Tonga,8.1
Tonga,2.2
Trinidad and Tobago,5.7
Trinidad and Tobago,5.3
Trinidad and Tobago,9.2
Tunisia,20.5
Tunisia,11.9
Tunisia,16.8
Tunisia,9.0
Tunisia,10.1
Tunisia,8.4
Turkmenistan,27.2
Turkmenistan,18.9
Turkmenistan,11.5
Turkmenistan,7.2
Turks and Caicos Islands,4.6
Tuvalu,10.0
Tuvalu,5.7
Türkiye,23.6
Türkiye,18.8
Türkiye,15.2
Türkiye,12.5
Türkiye,10.0
Türkiye,6.0
Uganda,47.7
Uganda,45.2
Uganda,44.9
Uganda,38.4
Uganda,38.2
Uganda,38.5
Uganda,33.5
Uganda,33.7
Uganda,34.0
Uganda,30.4
Uganda,28.9
Uganda,23.9
Uganda,25.4
Ukraine,22.9
United Republic of Tanzania,49.9
United Republic of Tanzania,49.6
United Republic of Tanzania,48.3
United Republic of Tanzania,44.4
United Republic of Tanzania,43.2
United Republic of Tanzania,42.1
United Republic of Tanzania,35.0
United Republic of Tanzania,37.4
United Republic of Tanzania,34.7
United Republic of Tanzania,34.5
United Republic of Tanzania,31.8
United Republic of Tanzania,38.6
United Republic of Tanzania,30.0
United States,3.1
United States,3.2
United States,3.1
United States,2.9
United States,3.1
United States,2.3
United States,2.8
United States,2.2
United States,2.4
United States,3.5
United States,3.4
Uruguay,21.0
Uruguay,15.3
Uruguay,14.7
Uruguay,17.2
Uruguay,13.9
Uruguay,11.8
Uruguay,11.7
Uruguay,5.0
Uruguay,10.8
Uruguay,6.9
Uzbekistan,37.2
Uzbekistan,24.9
Uzbekistan,19.6
Uzbekistan,10.8
Uzbekistan,6.5
Vanuatu,25.7
Vanuatu,25.7
Vanuatu,28.9
Venezuela (Bolivarian Republic of),7.0
Venezuela (Bolivarian Republic of),18.6
Venezuela (Bolivarian Republic of),18.2
Venezuela (Bolivarian Republic of),18.3
Venezuela (Bolivarian Republic of),17.4
Venezuela (Bolivarian Republic of),17.9
Venezuela (Bolivarian Republic of),18.9
Venezuela (Bolivarian Republic of),19.3
Venezuela (Bolivarian Republic of),19.9
Venezuela (Bolivarian Republic of),19.2
Venezuela (Bolivarian Republic of),18.3
Venezuela (Bolivarian Republic of),17.4
Venezuela (Bolivarian Republic of),17.3
Venezuela (Bolivarian Republic of),17.6
Venezuela (Bolivarian Republic of),17.7
Venezuela (Bolivarian Republic of),17.1
Venezuela (Bolivarian Republic of),16.2
Venezuela (Bolivarian Republic of),16.2
Venezuela (Bolivarian Republic of),15.6
Venezuela (Bolivarian Republic of),14.6
Venezuela (Bolivarian Republic of),13.4
Viet Nam,61.3
Viet Nam,61.5
Viet Nam,52.5
Viet Nam,42.1
Viet Nam,43.8
Viet Nam,42.1
Viet Nam,43.2
Viet Nam,37.5
Viet Nam,35.4
Viet Nam,33.7
Viet Nam,33.3
Viet Nam,31.7
Viet Nam,31.7
Viet Nam,30.8
Viet Nam,29.3
Viet Nam,22.7
Viet Nam,27.5
Viet Nam,26.7
Viet Nam,25.9
Viet Nam,24.9
Viet Nam,24.6
Viet Nam,24.3
Viet Nam,23.8
Viet Nam,23.2
Viet Nam,22.4
Viet Nam,19.6
Viet Nam,19.5
Yemen,50.4
Yemen,50.4
Yemen,55.2
Yemen,57.3
Yemen,57.0
Yemen,46.6
Yemen,46.4
Zambia,46.3
Zambia,58.1
Zambia,48.6
Zambia,59.2
Zambia,52.5
Zambia,45.8
Zambia,40.0
Zambia,34.6
Zimbabwe,31.0
Zimbabwe,28.9
Zimbabwe,33.8
Zimbabwe,35.3
Zimbabwe,35.1
Zimbabwe,32.2
Zimbabwe,27.6
Zimbabwe,27.1
Zimbabwe,23.5
